Прайс-лист на 2 сентября 2019 г.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ценовая группа,,,,,,,,,,,,,Прайс-лист,Склад Запорожье основной
Артикул,,,,,"Номенклатура, Упаковка",,,,,,,,грн,
,,,,,,,,,,,,,Включает НДС,
2434LGNS4RD,,,,,"BMW 5 series (E39) (Седан) задней двери опускное левое зеленое (сталинит) 1995-03 , шт",,,,,,,,414.00,1.000
2434RGNS4RD,,,,,"BMW 5 series (E39) (Седан) задней двери опускное правое зеленое (сталинит) 1995-03 , шт",,,,,,,,414.00,1.000
2427AGNGY,,,,,"BMW 7 series (E32) (Седан) ветровое З/П.Ш.ТЗ (триплекс) 1987-94  , шт",,,,,,,,"1,056.00",2.000
2427LGNS4FD,,,,,"BMW 7 series (E32) (Седан) передней двери опускное левое зеленое (сталинит) 1987-94 , шт",,,,,,,,414.00,1.000
2427RGNS4FD,,,,,"BMW 7 series (E32) (Седан) передней двери опускное правое зеленое (сталинит) 1987-94 , шт",,,,,,,,414.00,1.000
2433AGNBLPV,,,,,"BMW 7 series (E38) (Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 1994-01 (SG), шт",,,,,,,,940.00,1.000
2433LGNS4FD,,,,,"BMW 7 series (E38) (Седан) передней двери опускное левое зеленое (сталинит) 1994-01 , шт",,,,,,,,466.00,1.000
2433RGNS4FD,,,,,"BMW 7 series (E38) (Седан) передней двери опускное правое зеленое (сталинит) 1994-01 , шт",,,,,,,,466.00,1.000
2457AGNGYPV,,,,,"BMW 7 series (F01/02) ветровое З/П.Ш.ТЗ круг. дд (триплекс) 2008-14, шт",,,,,,,,"1,415.00",1.000
2449AGNGYV,,,,,"BMW X3 (E83) (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2004-10  , шт",,,,,,,,"1,246.00",1.000
2452LGNR5RD,,,,,"BMW X5 (E70) (Внедорожник) задней двери опускное левое зеленое (сталинит) 2006-13, шт",,,,,,,,470.00,1.000
2452RGNR5RD,,,,,"BMW X5 (E70) (Внедорожник) задней двери опускное правое зеленое (сталинит) 2006-13, шт",,,,,,,,470.00,1.000
2452LGNR5FD,,,,,"BMW X5 (E70) (Внедорожник) передней двери опускное левое зеленое (сталинит) 2006-13, шт",,,,,,,,648.00,1.000
2452RGNR5FD,,,,,"BMW X5 (E70) (Внедорожник) передней двери опускное правое зеленое (сталинит) 2006-13, шт",,,,,,,,648.00,1.000
2456AGNGYPV,,,,,"BMW X6 (E71/E72) (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2008-13, шт",,,,,,,,"1,433.00",2.000
2456AGNPV,,,,,"BMW X6 (E71/E72) (Внедорожник) ветровое ТЗ дд (триплекс) 2008-13 (SG), шт",,,,,,,,"1,327.00",1.000
A128AGNGYAV,,,,,"Cadillac SRX (Внедорожник) ветровое З/П.Ш.ТЗ ант. (триплекс) 2004-10, шт",,,,,,,,"1,899.00",1.000
A128AGNGYCPV,,,,,"Cadillac SRX II (Внедорожник) ветровое З/П.Ш.ТЗ дд камера (триплекс) 2010-, шт",,,,,,,,"1,370.00",1.000
A127AGNGYV,,,,,"Cadillac STS (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2005-, шт",,,,,,,,"1,750.00",2.000
AGNGYPV,,,,,"Cadillac СTS (Купе) ветровое З/П.Ш.ТЗ дд (триплекс) 2011-, шт",,,,,,,,"2,250.00",2.000
9444AGNBL,,,,,"Chana Benni (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2006-  (XYG), шт",,,,,,,,"1,705.00",1.000
9409LGNS4FD,,,,,"Chery A13 (Седан, Хетчбек) передней двери опускное левое зеленое (сталинит) 2009-, шт",,,,,,,,470.00,2.000
9409RGNS4FD,,,,,"Chery A13 (Седан, Хетчбек) передней двери опускное правое зеленое (сталинит) 2009-, шт",,,,,,,,470.00,2.000
9401BGNS,,,,,"Chery Amulet (Седан)  заднее с ЭО зеленое (сталинит) 2003-, шт",,,,,,,,974.00,4.000
9401BCLS,,,,,"Chery Amulet (Седан) заднее с ЭО бесцветное (сталинит)  2003- , шт",,,,,,,,974.00,4.000
9401LGNS4RD,,,,,"Chery Amulet (Седан) задней двери опускное левое зеленое (сталинит) 2003- , шт",,,,,,,,414.00,3.000
9401RGNS4RD,,,,,"Chery Amulet (Седан) задней двери опускное правое зеленое (сталинит) 2003- , шт",,,,,,,,414.00,3.000
9401LCLS4FD,,,,,"Chery Amulet (Седан) передней двери опускное левое бесцветное (сталинит) 2003-, шт",,,,,,,,350.00,2.000
9401RCLS4FD,,,,,"Chery Amulet (Седан) передней двери опускное правое бесцветное (сталинит) 2003- , шт",,,,,,,,350.00,4.000
9406AGNBL,,,,,"Chery Elara (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2006- (SG), шт",,,,,,,,988.00,1.000
9641AGNGY,,,,,"Chery Fora (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2006-, шт",,,,,,,,"1,015.00",1.000
9406BGNS,,,,,"Chery Fora (Седан) заднее с ЭО зеленое (сталинит) 2006- , шт",,,,,,,,"1,115.00",1.000
9406LGNS4RD,,,,,"Chery Fora (Седан) задней двери опускное левое зеленое (сталинит) 2006- , шт",,,,,,,,470.00,1.000
9406RGNS4RD,,,,,"Chery Fora (Седан) задней двери опускное правое зеленое (сталинит) 2006- , шт",,,,,,,,470.00,1.000
9406LGNS4FD,,,,,"Chery Fora (Седан) передней двери опускное левое зеленое (сталинит)  2006- , шт",,,,,,,,500.00,1.000
9406RGNS4FD,,,,,"Chery Fora (Седан) передней двери опускное правое зеленое (сталинит)  2006- , шт",,,,,,,,500.00,1.000
AGNBLV,,,,,"Chery Indis (S18) (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2009-, шт",,,,,,,,"1,154.00",2.000
9442LGNH5FD,,,,,"Chery Kimo (Хетчбек) передней двери опускное левое зеленое (сталинит) 2007-, шт",,,,,,,,330.00,1.000
9410AGNGY,,,,,"Chery M11 (Седан, Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2008-12, шт",,,,,,,,"1,096.00",3.000
9410AGNGYP,,,,,"Chery M11 (Седан, Хетчбек) ветровое З/П.Ш.ТЗ дд (триплекс) 2008-12, шт",,,,,,,,"1,096.00",5.000
9410LGNS4RD,,,,,"Chery M11 (Седан, Хетчбек) задней двери опускное левое зеленое(сталинит) 2008-, шт",,,,,,,,470.00,1.000
9410RGNS4RD,,,,,"Chery M11 (Седан, Хетчбек) задней двери опускное правое зеленое(сталинит) 2008-, шт",,,,,,,,470.00,1.000
9410RGNS4FD,,,,,"Chery M11 (Седан, Хетчбек) передней двери опускное правое зеленое(сталинит) 2008-, шт",,,,,,,,470.00,1.000
9408RGNS4FD,,,,,"Chery QQ6 (Седан) передней двери опускное правое зеленое (сталинит) 2006- , шт",,,,,,,,444.00,1.000
9405AGNGYV,,,,,"Chery Tiggo (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2005-13 (воздух), шт",,,,,,,,600.00,1.000
9471AGNGYV,,,,,"Chery Tiggo (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2015-, шт",,,,,,,,"1,293.00",2.000
9471BGNR,,,,,"Chery Tiggo (Внедорожник) заднее с ЭО зеленое (сталинит) 2015-, шт",,,,,,,,"1,446.00",4.000
9405RGNR5RD,,,,,"Chery Tiggo (Внедорожник) задней двери опускное правое зеленое (сталинит) 2005-12, шт",,,,,,,,414.00,1.000
9405LGNR5FD,,,,,"Chery Tiggo (Внедорожник) передней двери опускное левое зеленое (сталинит) 2005-12, шт",,,,,,,,414.00,1.000
9471LGNR5FD,,,,,"Chery Tiggo (Внедорожник) передней двери опускное левое зеленое (сталинит) 2015-, шт",,,,,,,,625.00,1.000
9405RGNR5FD,,,,,"Chery Tiggo (Внедорожник) передней двери опускное правое зеленое (сталинит) 2005-12, шт",,,,,,,,334.00,1.000
9471RGNR5FD,,,,,"Chery Tiggo (Внедорожник) передней двери опускное правое зеленое (сталинит) 2015-, шт",,,,,,,,625.00,1.000
3022LCLS4FD,,,,,"Chevrolet Aveo (Седан, Хетчбек) передней дв оп левое бесцветное (сталинит) 2006-12 (ОР), шт",,,,,,,,250.00,6.000
3022LCLS4FD-HG,,,,,"Chevrolet Aveo (Седан, Хетчбек) передней двери опускное левое бесцветное  2006-12 (ОРИГИНАЛ), шт",,,,,,,,300.00,10.000
3022LGNS4FD,,,,,"Chevrolet Aveo (Седан, Хетчбек) передней двери опускное левое зеленое (сталинит) 2006-12, шт",,,,,,,,350.00,2.000
3022RCLS4FD-HG,,,,,"Chevrolet Aveo (Седан, Хетчбек) передней двери опускное правое бесцветное  2006-12 (ОРИГИНАЛ), шт",,,,,,,,300.00,9.000
3022RGNS4FD,,,,,"Chevrolet Aveo (Седан, Хетчбек) передней двери опускное правое зеленое (сталинит) 2006-12 , шт",,,,,,,,350.00,1.000
3014LGNS4RD,,,,,"Chevrolet Aveo (Седан) задней двери опускное левое зеленое (сталинит) 2002-06 , шт",,,,,,,,248.00,10.000
3014RGNS4RD,,,,,"Chevrolet Aveo (Седан) задней двери опускное правое зеленое (сталинит) 2002-06, шт",,,,,,,,250.00,8.000
3014LGNH5RD,,,,,"Chevrolet Aveo (Хетчбек) задней двери опускное левое зеленое (сталинит) 2002-08 , шт",,,,,,,,350.00,5.000
3014RGNH5RD,,,,,"Chevrolet Aveo (Хетчбек) задней двери опускное правое зеленое (сталинит) 2002-08, шт",,,,,,,,450.00,4.000
3014BGNH,,,,,"Chevrolet Aveo I-III (Хетчбек) заднее с ЭО зеленое (сталинит) 2002-12 (ОРИГИНАЛ), шт",,,,,,,,"1,160.00",3.000
3014AGNBL,,,,,"Chevrolet Aveo I,II (Седан) ветровое З/П.ШТЗ (триплекс)  2004-06 (XYG), шт",,,,,,,,810.00,32.000
3014BGNS,,,,,"Chevrolet Aveo I,II (Седан) заднее с ЭО зеленое (сталинит) 2002-06 (ОРИГИНАЛ), шт",,,,,,,,"1,375.00",2.000
3022AGNBL,,,,,"Chevrolet Aveo III (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2006-12 (XYG), шт",,,,,,,,800.00,34.000
3022BGNSU,,,,,"Chevrolet Aveo III (Седан) заднее без ЭО зеленое (сталинит) 2006-12 , шт",,,,,,,,650.00,3.000
3022BGNS,,,,,"Chevrolet Aveo III (Седан) заднее с ЭО зеленое (сталинит) 2006-12 , шт",,,,,,,,730.00,5.000
3022LCLS4RD,,,,,"Chevrolet Aveo III (Седан) задней двери опускное левое бесцветное (сталинит)  2006-12 (ОРИГИНАЛ) , шт",,,,,,,,250.00,2.000
3022LGNS4RD,,,,,"Chevrolet Aveo III (Седан) задней двери опускное левое зеленое (сталинит)  2006-12 , шт",,,,,,,,250.00,3.000
3022RCLS4RD,,,,,"Chevrolet Aveo III (Седан) задней двери опускное правое бесцветное (сталинит)  2006-12 (ОРИГИНАЛ), шт",,,,,,,,250.00,5.000
3022RGNS4RD,,,,,"Chevrolet Aveo III (Седан) задней двери опускное правое зеленое (сталинит)  2006-12, шт",,,,,,,,390.00,17.000
3022LGNH5RD,,,,,"Chevrolet Aveo III (Хетчбек) задней двери опускное левое зеленое (сталинит) 2008-12 , шт",,,,,,,,450.00,7.000
3022RGNH5RD,,,,,"Chevrolet Aveo III (Хетчбек) задней двери опускное правое зеленое (сталинит) 2008-12 , шт",,,,,,,,414.00,6.000
3031BGNS,,,,,"Chevrolet Aveo IV (Седан) заднее с ЭО зеленое (сталинит) 2012-, шт",,,,,,,,"1,450.00",1.000
3031BGNH,,,,,"Chevrolet Aveo IV (Хетчбек) заднее с ЭО зеленое (сталинит) 2012-, шт",,,,,,,,"1,450.00",1.000
3024AGNGYPV,,,,,"Chevrolet Captiva (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2006- (SG), шт",,,,,,,,"1,137.00",1.000
3024BCLR,,,,,"Chevrolet Captiva (Внедорожник) заднее с ЭО бесцветное (сталинит) 2006- , шт",,,,,,,,"1,296.00",1.000
3024RGNR5RD,,,,,"Chevrolet Captiva (Внедорожник) задней двери опускное правое зеленое (сталинит) 2006- , шт",,,,,,,,470.00,1.000
3024LGNR5FD,,,,,"Chevrolet Captiva (Внедорожник) передней двери опускное левое зеленое (сталинит) 2006- , шт",,,,,,,,414.00,1.000
3024RGNR5FD,,,,,"Chevrolet Captiva (Внедорожник) передней двери опускное правое зеленое (сталинит) 2006- , шт",,,,,,,,414.00,1.000
3038AGNGYV,,,,,"Chevrolet Cobalt (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2012-, шт",,,,,,,,"1,246.00",2.000
3038BGNS,,,,,"Chevrolet Cobalt (Седан) заднее с ЭО зеленое (сталинит) 2012- , шт",,,,,,,,"1,499.00",1.000
3026LGNS4RD,,,,,"Chevrolet Cruze  (Седан) задней двери опускное левое зеленое (сталинит) 2009- , шт",,,,,,,,383.00,1.000
3026LGNE5RD,,,,,"Chevrolet Cruze (Комби) задней двери опускное левое зеленое (сталинит) 2009- , шт",,,,,,,,383.00,1.000
3026RGNE5RD,,,,,"Chevrolet Cruze (Комби) задней двери опускное правое зеленое (сталинит) 2009- , шт",,,,,,,,383.00,1.000
3026RGNS4RD,,,,,"Chevrolet Cruze (Седан) задней двери опускное правое зеленое (сталинит) 2009- , шт",,,,,,,,383.00,1.000
3026AGNBLV,,,,,"Chevrolet Cruze J300 (Седан, Комби, Хетчбек) ветровое З/П,Ш.ТЗ (триплекс)  2009- (SG), шт",,,,,,,,"1,090.00",1.000
3023AGNBL,,,,,"Chevrolet Epica (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2006-11 (SG), шт",,,,,,,,995.00,2.000
AC40AGN,,,,,"Chevrolet Express (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 1996-02 (SG), шт",,,,,,,,"2,283.00",2.000
3016BCLE,,,,,"Chevrolet Lacetti (Комби) заднее с ЭО бесцветное (сталинит) 2003- , шт",,,,,,,,"1,063.00",1.000
3016BGNE,,,,,"Chevrolet Lacetti (Комби) заднее с ЭО зеленое (сталинит) 2003- , шт",,,,,,,,995.00,5.000
3016LGNE5RD,,,,,"Chevrolet Lacetti (Комби) задней двери опускное левое зеленое (сталинит) 2003- , шт",,,,,,,,470.00,3.000
3016RGNE5RD,,,,,"Chevrolet Lacetti (Комби) задней двери опускное правое зеленое (сталинит)  2003- , шт",,,,,,,,470.00,6.000
3016LGNS4FD,,,,,"Chevrolet Lacetti (Седан, Хетчбек, Комби) пер дв оп левое зеленое (сталинит) 2003- (ОР), шт",,,,,,,,250.00,13.000
3016RGNS4FD,,,,,"Chevrolet Lacetti (Седан, Хетчбек, Комби) пер дв оп правое зеленое (сталинит) 2003-  (ОР), шт",,,,,,,,250.00,11.000
3016LCLS4FD,,,,,"Chevrolet Lacetti (Седан, Хетчбек, Комби) передней двери опускное левое бесцветное (сталинит) 2003- , шт",,,,,,,,250.00,5.000
3016AGNBL,,,,,"Chevrolet Lacetti (Седан,Комби, Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2003- (XYG), шт",,,,,,,,850.00,35.000
3016BGNS,,,,,"Chevrolet Lacetti (Седан) заднее с ЭО зеленое (сталинит) 2003- , шт",,,,,,,,880.00,15.000
3016LGNS4RD,,,,,"Chevrolet Lacetti (Седан) задней двери опускное левое зеленое (сталинит) 2003- , шт",,,,,,,,414.00,4.000
3016RGNS4RD,,,,,"Chevrolet Lacetti (Седан) задней двери опускное правое зеленое (сталинит) 2003- , шт",,,,,,,,414.00,3.000
3016BCLH,,,,,"Chevrolet Lacetti (Хетчбек) заднее с ЭО бесцветное (сталинит) 2003- , шт",,,,,,,,"1,079.00",1.000
3016BGNH,,,,,"Chevrolet Lacetti (Хетчбек) заднее с ЭО зеленое (сталинит) 2003- , шт",,,,,,,,"1,238.00",2.000
3016LGNH5RD,,,,,"Chevrolet Lacetti (Хетчбек) задней двери опускное левое зеленое (сталинит) 2003- , шт",,,,,,,,350.00,1.000
3016RGNH5RD,,,,,"Chevrolet Lacetti (Хетчбек) задней двери опускное правое зеленое (сталинит) 2003- , шт",,,,,,,,350.00,6.000
3033AGNGYPV,,,,,"Chevrolet Malibu (Седан) ветровое З\П.Ш.ТЗ дд (триплекс) 2012-16, шт",,,,,,,,"1,550.00",1.000
3030AGNGYPV,,,,,"Chevrolet Orlando (Минивен) ветровое З/П.Ш.ТЗ дд (триплекс) 2010-, шт",,,,,,,,"1,293.00",1.000
3017AGNBL,,,,,"Chevrolet Spark II (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2005-10, шт",,,,,,,,"1,154.00",3.000
3017BGNH,,,,,"Chevrolet Spark II (Хетчбек) заднее с ЭО зеленое (сталинит) 2005-10 , шт",,,,,,,,"1,260.00",1.000
3028BGNH,,,,,"Chevrolet Spark III (Хетчбек) заднее с ЭО зеленое (сталинит) 2010-, шт",,,,,,,,"1,392.00",1.000
AC79AGNGYV,,,,,"Chevrolet Suburban (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2007-13 (ИСКАЖЕНИЕ), шт",,,,,,,,950.00,1.000
3011BGNV,,,,,"Chevrolet Tacuma(Минивен) заднее с ЭО зеленое (сталинит) 2000-08, шт",,,,,,,,"1,470.00",2.000
K035AGNGYV,,,,,"Chevrolet TrailBlazer (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2012-, шт",,,,,,,,"1,296.00",1.000
A226AGNGY,,,,,"Chrysler 300M (Седан) ветровое З/П.Ш.ТЗ (триплекс) 1998-04, шт",,,,,,,,"1,599.00",1.000
A223AGNGY,,,,,"Chrysler Grand Voyager (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 2001-07, шт",,,,,,,,"1,293.00",1.000
9320AGNBL,,,,,"Chrysler Grand Voyager (Минивен) ветровое З/П.Ш.ТЗ (триплекс)1995-00 (SG), шт",,,,,,,,"1,372.00",1.000
